Invoice_ID,Customer_ID,Customer_Name,Customer_Segment,Region,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,Payment_Date,Payment_Status,Invoice_Category,Sales_Rep,Dispute_Flag,Dispute_Reason,Outstanding_Amount,Days_To-Pay,Days_Overdue,Aging_Bucket,Recovery_Priority
INV-0001,CUST-001,Malhotra Construction Group,Enterprise,Mumbai,21-04-2024,21-05-2024,981239,981239,09-05-2024,Paid,Maintenance Contract,Amit Verma,No,,0,18,0,Current,None
INV-0002,CUST-002,Khanna Electricals & Co.,Enterprise,Mumbai,28-04-2024,28-05-2024,853565,401175.55,21-05-2024,Partial,Maintenance Contract,Priya Sharma,No,,452389.45,23,398,90+ Days,Critical - Escalate Now
INV-0003,CUST-003,Singh Freight Carriers,Enterprise,Mumbai,20-07-2024,19-08-2024,1397868,1397868,13-08-2024,Paid,Maintenance Contract,Rahul Nair,No,,0,24,0,Current,None
INV-0004,CUST-004,Bhatia Polymers Pvt Ltd,Enterprise,Mumbai,07-05-2024,06-06-2024,1456560,1456560,21-05-2024,Paid,Annual License,Sneha Patel,No,,0,14,0,Current,None
INV-0005,CUST-005,Verma Associates,Enterprise,Mumbai,30-11-2024,30-12-2024,468140,468140,09-12-2024,Paid,Annual License,Vikram Joshi,No,,0,9,0,Current,None
INV-0006,CUST-006,Chopra Cold Storage,Enterprise,Mumbai,06-03-2025,05-04-2025,527778,527778,30-03-2025,Paid,Service Fee,Anita Reddy,No,,0,24,0,Current,None
INV-0007,CUST-007,Sethi Textiles & Fabrics,Enterprise,Mumbai,04-11-2024,04-12-2024,778162,778162,27-12-2024,Late_Paid,Maintenance Contract,Karan Mehta,No,,0,53,0,Current,None
INV-0008,CUST-008,Aggarwal Spices Trading,Enterprise,Mumbai,16-03-2025,15-04-2025,1278638,1278638,04-04-2025,Paid,Consulting,Divya Singh,No,,0,19,0,Current,None
INV-0009,CUST-009,Tandon Auto Parts,Enterprise,Mumbai,06-08-2024,05-09-2024,1250314,1250314,20-08-2024,Paid,Product Sale,Amit Verma,No,,0,14,0,Current,None
INV-0010,CUST-010,Gill Agricultural Implements,Enterprise,Mumbai,09-12-2024,08-01-2025,1378491,730600.23,25-12-2024,Partial,Maintenance Contract,Priya Sharma,No,,647890.77,16,173,90+ Days,Critical - Escalate Now
